Operand 1,Operand 2,Answer,Markers List,Visible Markers
54,,54,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
72,,72,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
97,,97,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
22,,22,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
88,,88,"0,10,20,30,40,50,60,70,80,90,100","0,10,20,30,40,50,60,70,80,90,100"
240,,240,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
510,,510,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
170,,170,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
640,,640,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
875,,875,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
328,,328,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
722,,722,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
531,,531,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
949,,949,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
479,,479,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
462,,462,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
741,,741,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
308,,308,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
567,,567,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
279,,279,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
104,,104,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
691,,691,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
894,,894,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
301,,301,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
218,,218,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
812,,812,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
615,,615,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
137,,137,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
925,,925,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
489,,489,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
653,,653,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
573,,573,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
999,,999,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
246,,246,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
382,,382,"0,100,200,300,400,500,600,700,800,900,1000","0,100,200,300,400,500,600,700,800,900,1000"
