Operand 1,Operand 2,Answer,Markers List,Visible Markers
47%,,0.47,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0","0.0,0.2,0.4,0.6,0.8,1.0"
48%,,0.48,"0.0,0.25,0.5,0.75,1.0","0.0,0.5,1.0"
53%,,0.53,"0.0,0.25,0.5,0.75,1.0","0.0,0.5,1.0"
25%,,1/4,"0,1/4,1/2,3/4,1","0,1/4,1/2,3/4,1"
100%,,1,"0,1/4,1/2,3/4,1","0,1/4,1/2,3/4,1"
75%,,3/4,"0,1/4,1/2,3/4,1","0,1/4,1/2,3/4,1"
50%,,1/2,"0,1/4,1/2,3/4,1","0,1/4,1/2,3/4,1"
20%,,1/5,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
35%,,35/100,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
60%,,3/5,"0,1/4,1/2,3/4,1","0,1/2,1"
30%,,3/10,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
39%,,39/100,"0,1/4,1/2,3/4,1","0,1/2,1"
65%,,13/20,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
25%,,1/4,"0,1/4,1/2,3/4,1","0,1/4,1/2,3/4,1"
50%,,1/2,"0,1/4,1/2,3/4,1","0,1/4,1/2,3/4,1"
20%,,1/5,"0,1/5,2/5,3/5,4/5,1","0,1"
40%,,2/5,"0,1/5,2/5,3/5,4/5,1","0,1"
15%,,3/20,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
45%,,9/20,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
80%,,4/5,"0,1/5,2/5,3/5,4/5,1","0,1"
55%,,11/20,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
34%,,17/50,"0,1/4,1/2,3/4,1","0,1/4,1/2,3/4,1"
46%,,23/50,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
90%,,9/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
35%,,7/20,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
85%,,17/20,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
42%,,21/50,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
70%,,7/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
95%,,19/20,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
49%,,49/100,"0,1/4,1/2,3/4,1","0,1"
58%,,29/50,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
12%,,3/25,"0,1/5,2/5,3/5,4/5,1","0,1/5,2/5,3/5,4/5,1"
67%,,2/3,"0,1/3,2/3,1","0,1/3,2/3,1"
150%,,1 1/2,"0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2","0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2"
175%,,1 3/4,"0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2","0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2"
200%,,2,"0,1,2,3","0,1,2,3"
110%,,11/10,"0,1/5,2/5,3/5,4/5,1,1 1/5,1 2/5,1 3/5,1 4/5,2","0,1/5,2/5,3/5,4/5,1,1 1/5,1 2/5,1 3/5,1 4/5,2"
120%,,1 1/5,"0,1/5,2/5,3/5,4/5,1,1 1/5,1 2/5,1 3/5,1 4/5,2","0,1/5,2/5,3/5,4/5,1,1 1/5,1 2/5,1 3/5,1 4/5,2"
130%,,1 3/10,"0,2/10,4/10,6/10,8/10,1,1 2/10,1 4/10,1 6/10,1 8/10,2","0,2/10,4/10,6/10,8/10,1,1 2/10,1 4/10,1 6/10,1 8/10,2"
160%,,1 3/5,"0,1/5,2/5,3/5,4/5,1,1 1/5,1 2/5,1 3/5,1 4/5,2","0,1/5,2/5,3/5,4/5,1,1 1/5,1 2/5,1 3/5,1 4/5,2"
137%,,1 37/100,"0,1/2,1,1 1/2,2","0,1/2,1,1 1/2,2"
142%,,1 21/50,"0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2","0,1/2,1,1 1/2,2"
185%,,1 17/20,"0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2","0,1/2,1,1 1/2,2"
115%,,1 3/20,"1,1 1/5,1 2/5,1 3/5,1 4/5,2","1,1 1/5,1 2/5,1 3/5,1 4/5,2"
128%,,1 7/25,"1,1 1/10,1 2/10,1 3/10,1 4/10,1 5/10,1 6/10,1 7/10,1 8/10,1 9/10,2","1,1 1/10,1 2/10,1 3/10,1 4/10,1 5/10,1 6/10,1 7/10,1 8/10,1 9/10,2"
145%,,1 9/20,"0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2","0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2"
155%,,1 11/20,"0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2","0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2"
168%,,1 17/25,"0,1/5,2/5,3/5,4/5,1,1 1/5,1 2/5,1 3/5,1 4/5,2","0,1/5,2/5,3/5,4/5,1,1 1/5,1 2/5,1 3/5,1 4/5,2"
183%,,1 83/100,"0,2/10,4/10,6/10,8/10,1,1 2/10,1 4/10,1 6/10,1 8/10,2","0,2/10,4/10,6/10,8/10,1,1 2/10,1 4/10,1 6/10,1 8/10,2"
190%,,1 9/10,"0,2/10,4/10,6/10,8/10,1,1 2/10,1 4/10,1 6/10,1 8/10,2","0,2/10,4/10,6/10,8/10,1,1 2/10,1 4/10,1 6/10,1 8/10,2"
172%,,1 18/25,"0,1/5,2/5,3/5,4/5,1,1 1/5,1 2/5,1 3/5,1 4/5,2","0,1/5,2/5,3/5,4/5,1,1 1/5,1 2/5,1 3/5,1 4/5,2"
205%,,2 1/20,"2,2 1/10,2 2/10,2 3/10,2 4/10,2 5/10,2 6/10,2 7/10,2 8/10,2 9/10,3","2,2 1/10,2 2/10,2 3/10,2 4/10,2 5/10,2 6/10,2 7/10,2 8/10,2 9/10,3"
225%,,2 1/4,"1,1 1/4,1 1/2,1 3/4,2,2 1/4,2 1/2,2 3/4,3","1,1 1/4,1 1/2,1 3/4,2,2 1/4,2 1/2,2 3/4,3"
238%,,2 19/50,"0,1/2,1,1 1/2,2,2 1/2,3","0,1/2,1,1 1/2,2,2 1/2,3"
247%,,2 47/100,"0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2,2 1/4,2 1/2,2 3/4,3","0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2,2 1/4,2 1/2,2 3/4,3"
132%,,1 32/100,"0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2","0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2"
199%,,1 99/100,"0,1,2","0,1,2"
212%,,2 3/25,"0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2,2 1/4,2 1/2,2 3/4,3","0,1/4,1/2,3/4,1,1 1/4,1 1/2,1 3/4,2,2 1/4,2 1/2,2 3/4,3"
167%,,1 67/100,"0,2/10,4/10,6/10,8/10,1,1 2/10,1 4/10,1 6/10,1 8/10,2","0,2/10,4/10,6/10,8/10,1,1 2/10,1 4/10,1 6/10,1 8/10,2"
146%,,1 23/50,"0,1/2,1,1 1/2,2","0,1/2,1,1 1/2,2"
159%,,1 59/100,"0,2/10,4/10,6/10,8/10,1,1 2/10,1 4/10,1 6/10,1 8/10,2","0,4/10,8/10,1 2/10,1 6/10,2"
312%,,3 3/25,"3,3 1/4,3 1/2,3 3/4,4","3,3 1/4,3 1/2,3 3/4,4"
217%,,2 17/100,"0,3/10,6/10,9/10,1 2/10,1 5/10,1 8/10,2 1/10,2 4/10,2 7/10,3","0,3/10,6/10,9/10,1 2/10,1 5/10,1 8/10,2 1/10,2 4/10,2 7/10,3"
20%,100,20,"0,20,40,60,80,100","0,20,40,60,80,100"
45%,100,45,"0,25,50,75,100","0,25,50,75,100"
25%,400,100,"0,100,200,300,400","0,100,200,300,400"
30%,600,180,"0,150,300,450,600","0,150,300,450,600"
75%,300,225,"0,75,150,225,300","0,75,150,225,300"
40%,80,32,"0,16,32,48,64,80","0,16,32,48,64,80"
200%,90,180,"0,45,90,135,180","0,45,90,135,180"
60%,150,90,"0,30,60,90,120,150","0,30,60,90,120,150"
20%,45,9,"0,9,18,27,36,45","0,9,18,27,36,45"
150%,300,450,"0,75,150,225,300,375,450,525,600","0,75,150,225,300,375,450,525,600"
10%,450,45,"0,90,180,270,360,450","0,90,180,270,360,450"
20%,250,50,"0,50,100,150,200,250","0,50,100,150,200,250"
40%,150,60,"0,30,60,90,120,150","0,30,60,90,120,150"
60%,90,54,"0,18,36,54,72,90","0,18,36,54,72,90"
80%,125,100,"0,25,50,75,100,125","0,25,50,75,100,125"
25%,360,90,"0,90,180,270,360","0,90,180,270,360"
75%,160,120,"0,40,80,120,160","0,40,80,120,160"
20%,275,55,"0,55,110,165,220,275","0,55,110,165,220,275"
30%,210,63,"0,30,60,90,120,150,180,210","0,30,60,90,120,150,180,210"
47%,200,94,"0,50,100,150,200","0,50,100,150,200"
70%,180,126,"0,45,90,135,180","0,45,90,135,180"
18%,500,90,"0,100,200,300,400,500","0,100,200,300,400,500"
25%,320,80,"0,80,160,240,320","0,80,160,240,320"
125%,360,450,"0,90,180,270,360,450","0,90,180,270,360,450"
150%,240,360,"0,60,120,180,240,300,360","0,60,120,240,300,360"
175%,64,112,"0,28,56,84,112","0,28,56,84,112"
62%,150,93,"0,25,50,75,100,125,150","0,25,50,75,100,125,150"
20%,340,68,"0,85,170,255,340","0,85,170,255,340"
125%,280,350,"0,70,140,210,280,350,420","0,70,140,210,280,350,420"
150%,120,180,"0,60,120,180,240,300,360","0,60,120,180,240,300,360"
