Operand 1,Operand 2,Operator,Answer,Markers List,Visible Markers
1.5 – (,1/2),–,2,"–3, -2, –1, 0, 1, 2, 3","–3, -2, –1, 0, 1, 2, 3"
–1 – (,1/2),–,–1/2,"–1, –1/2, 0, 1/2, 1","–1, –1/2, 0, 1/2, 1"
–5/4,3/4,–,–2,"–3, –2, –1, 0, 1, 2, 3","–3, –2, –1, 0, 1, 2, 3"
3/2 – (,2/3),–,13/6,"–3, –2, –1, 0, 1, 2, 3","–3, –2, –1, 0, 1, 2, 3"
–1.25 – (,0.5),–,–3/4,"–2, –1, 0, 1, 2","–2, –1, 0, 1, 2"
–1/2,3/4,–,–5/4,"–2, –1, 0, 1, 2","–2, –1, 0, 1, 2"
–5,9/4,–,–29/4,"–8, –6, –4, –2, 0, 2, 4","–8, –6, –4, –2, 0, 2, 4"
1/2,3/4,–,–1/4,"–1, 0, 1","–1, 0, 1"
5,9/4,–,11/4,"–4, -3, –2, -1, 0, 1, 2, 3, 4","–4, –2, 0, 2, 4"
–7/5,9/5,–,–16/5,"–4, –2, 0, 2","–4, –2, 0, 2"
–3/4,1/4,–,–1,"–2, –1, 0, 1, 2","–2, –1, 0, 1, 2"
2,3/2,–,1/2,"–2, –1, 0, 1, 2","–2, –1, 0, 1, 2"
–2,1.5,–,–7/2,"–4, -3, –2, -1, 0, 1, 2, 3, 4","–4, –2, 0, 2, 4"
2/3,7/6,–,–1/2,"–1, 0, 1","–1, 0, 1"
–3/2,1/2,–,–2,"–3, –2, -1, 0, 1, 2, 3","–3, –1, 1, 3"
–1/2 – (,3/2),–,1,"–2, –1, 0, 1, 2","–2, –1, 0, 1, 2"
–0.75,0.25,–,–1,"–2, –1, 0, 1, 2","–2, –1, 0, 1, 2"
–2,0.5,–,–2.5,"–4, –2, 0, 2, 4","–4, –2, 0, 2, 4"
–1 – (,2/3),–,–1/3,"–2, –1, 0, 1, 2","–2, –1, 0, 1, 2"
–1,1/2,–,–3/2,"–2, –1, 0, 1, 2","–2, –1, 0, 1, 2"
–1,3/2,×,–3/2,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2"
–2,0.5,×,–1,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2"
–1/2 × (,4),–,2,"–3, –5/2, –2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2, 5/2, 3","–3, –5/2, –2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2, 5/2, 3"
–3,1/4,×,–3/4,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2"
–2 × (,1.5),–,3,"–4, –3, –2, –1, 0, 1, 2, 3, 4","–4, –2, 0, 2, 4"
–5/4,2,×,–10/4,"–12/4, –10/4, –8/4, –6/4, –4/4, –2/4, 0, 2/4, 4/4, 6/4, 8/4, 10/4, 12/4","–12/4, –8/4, –4/4, 0, 4/4, 8/4, 12/4"
–1/2,7,×,–7/2,"–4, –7/2, –3, –5/2, –2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2, 5/2, 3, 7/2, 4","–4, –3, –2, –1, 0, 1, 2, 3, 4"
–3/4 × (,8/3),–,2,"–3, –5/2, –2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2, 5/2, 3","–3, -2, -1, 0, 1, 2, 3"
–5/4 × (,2),–,10/4,"–12/4, –10/4, –8/4, –6/4, –4/4, –2/4, 0, 2/4, 4/4, 6/4, 8/4, 10/4, 12/4","–12/4, –8/4, –4/4, 0, 4/4, 8/4, 12/4"
–1 × (–3/2,1/2),+,1,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–2/3,3/2,×,–1,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–5/2 × (,2/5),–,1,"–3, –2, –1, 0, 1, 2, 3","–3, –2, –1, 0, 1, 2, 3"
(4 – 2) × (,3/4),–,–3/2,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–3,(1/4),×,–3/4,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2"
1/3 × (,1.5),–,–1/2,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
-1/2,4,×,-2,"–3, –5/2, –2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2, 5/2, 3","–3, –2, –1, 0, 1, 2, 3"
–3/5,2,×,–6/5,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–5,2/3,×,–10/3,"–4, –10/3, –8/3, –6/3, –4/3, –2/3, 0, 2/3, 4/3, 2, 8/3, 10/3, 4","–4, –8/3, –4/3, 0, 4/3, 8/3, 4"
3 × (,2/3),–,–2,"–3, –5/2, –2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2, 5/2, 3","–3, –2, –1, 0, 1, 2, 3"
–1/2 × (,6),–,3,"–4, –3, –2, –1, 0, 1, 2, 3, 4","–4, –2, 0, 2, 4"
–6/5 × (,5/3),–,2,"–5, –4, –3, –2, –1, 0, 1, 2, 3, 4, 5","–5, –3, –1, 1, 3, 5"
(–3 + 1) × (,1/2),–,1,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–2,1.5,×,–3,"–4, –3, –2, –1, 0, 1, 2, 3, 4","–4, –3, –2, –1, 0, 1, 2, 3, 4"
3/2 ×,2/3,-,-1,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
2 × (,3/4),–,–3/2,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–3/4 × (,2),–,3/2,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
-2/3,3,×,-2,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–2/5,5,×,–2,"–3, –2, –1, 0, 1, 2, 3","–3, –2, –1, 0, 1, 2, 3"
–1,3/2,×,–3/2,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
1.5 × (,1/2),–,–3/4,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–3,1,÷,–3,"–4, –3, –2, –1, 0, 1, 2, 3, 4","–4, –3, –2, –1, 0, 1, 2, 3, 4"
–1/2,1/4,÷,–2,"–8/4, –6/4, –4/4, –2/4, 0, 2/4, 4/4, 6/4, 8/4","–8/4, –6/4, –4/4, –2/4, 0, 2/4, 4/4, 6/4, 8/4"
–3,(–1),÷,3,"–4, –3, –2, –1, 0, 1, 2, 3, 4","–4, –3, –2, –1, 0, 1, 2, 3, 4"
–1,0.5,÷,–2,"–2, –1.5, –1, –0.5, 0, 0.5, 1, 1.5, 2","–2, –1.5, –1, –0.5, 0, 0.5, 1, 1.5, 2"
2,(–3/4),÷,–8/3,"–10/3, –8/3, –6/3, –4/3, –2/3, 0, 2/3, 4/3, 6/3, 8/3, 10/3","–10/3, –6/3, –2/3, 2/3, 6/3, 10/3"
–3/4,1/2,÷,–3/2,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–2,1.5,÷,–4/3,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
–5,(–2/3),÷,15/2,"–10, –8, –6, –4, –2, 0, 2, 4, 6, 8, 10","–10, –6, –2, 2, 6, 10"
3/4,(–3/2),÷,–1/2,"–2, –3/2, –1, –1/2, 0, 1/2, 1, 3/2, 2","–2, –1, 0, 1, 2"
(–2 + 1) ÷ (,1/3),–,3,"–4, –3, –2, –1, 0, 1, 2, 3, 4","–4, –2, 0, 2, 4"
–7/4,1/2,÷,–7/2,"–4,–7/2,–3,–5/2,–2,–3/2,–1,–1/2,0,1/2, 1, 3/2, 2, 5/2, 3, 7/2, 4","–4,–7/2,–3,–5/2,–2,–3/2,–1,–1/2,0,1/2, 1, 3/2, 2, 5/2, 3, 7/2, 4"
2,1.5,÷,4/3,"–6/3, –4/3, –2/3, 0, 2/3, 4/3, 6/3","–6/3, –2/3, 2/3,  6/3"
3 ÷ (,1.5),–,–2,"–3,–2,–1,0,1,2,3","–3,–1,1,3"
(–2 + 1) ÷ (,1/2),–,2,"–3,–2,–1,0,1,2,3","–3,–1,1,3"
3/4,1/2,÷,3/2,"–2,–3/2,–1,–1/2,0,1/2,1,3/2,2","–2,–1,0,1,2"
–3 ÷ (,1.5),–,2,"–3,–2,–1,0,1,2,3","–3,–1,1,3"
–6/5,3,÷,–2/5,"–1,–4/5,–3/5,–2/5,–1/5,0,1/5,2/5,3/5,4/5,1","–1,–3/5,–1/5,1/5,3/5,1"
–3/2,1/2,÷,–3,"–4,–3,–2,–1,0,1,2,3,4","–4,–2,0,2,4"
–5 ÷ (,1/2),–,10,"–12,–10,–8,–6,–4,–2,0,2,4,6,8,10,12","–12,–8, -4,0, 4, 8,12"
–5/2 ÷ (,1/2),–,5,"–6, –5, –4, –3, –2, –1, 0, 1, 2, 3, 4, 5, 6","–6, –4, –2, 0, 2, 4, 6"
(–6 + 3) ÷ (,3/2),–,2,"–3,–2,–1,0,1,2,3","–3,–1,1,3"
–1,1/4,÷,–4,"–5,–4,–3,–2,–1,0,1,2,3,4,5","–5,–3,–1,1,3,5"
–3/4 ÷ (,3/2),–,1/2,"–1,–3/4,–1/2,–1/4,0,1/4,1/2,3/4,1","–1,–1/2,0,1/2,1"
(5 – 3) ÷ (,2/3),–,–3,"–6,–5,–4,–3,–2,–1,0,1,2,3,4,5,6","–6,–4,–2,0,2,4,6"
4 ÷ (,2/5),–,–10,"–12,–10,–8,–6,–4,–2,0,2,4,6,8,10,12","–12,–8,–4,0,4,8,12"
–4/3,2,÷,–2/3,"–2, –5/3, –4/3, -1, –2/3, –1/3, 0, 1/3, 2/3, 1, 4/3, 5/3, 2","–2, –5/3, –4/3, -1, –2/3, –1/3, 0, 1/3, 2/3, 1, 4/3, 5/3, 2"
7/2,1.75,÷,2,"–3,–2,–1,0,1,2,3","–3,–1,0,1,3"
2 ÷ (,2/3),–,–3,"–4,–3,–2,–1,0,1,2,3,4","–4,–2,0,2,4"
5/3,2,÷,5/6,"–2, –5/3, –4/3, -1, –2/3, –1/3, 0, 1/3, 2/3, 1, 4/3, 5/3, 2","–2, –5/3, –4/3, -1, –2/3, –1/3, 0, 1/3, 2/3, 1, 4/3, 5/3, 2"
1.5 ÷ (,3/4),–,–2,"–3,–2,–1,0,1,2,3","–3,–1,0,1,3"
