Operand 1,Operand 2,Operator,Answer,Markers List,Visible Markers
1/11,2/9,+,31/99,"0,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,1","0,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,1"
1/2,1/6,+,2/3,"0,1/6,2/6,3/6,4/6,5/6,1","0,1/6,2/6,3/6,4/6,5/6,1"
2/15,2/9,+,16/45,"0,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,1","0,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,1"
3/8,1/4,+,5/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,2/8,4/8,6/8,1"
2/5,1/4,+,13/20,"0,5/20,10/20,15/20,1","0,5/20,10/20,15/20,1"
3/10,1/5,+,1/2,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
3/8,1/16,−,5/16,"0,2/16,4/16,6/16,8/16,10/16,12/16,14/16,16/16","0,4/16,8/16,12/16,16/16"
3/4,1/2,−,1/4,"0,1/4,1/2,3/4,1","0,1/4,1/2,3/4,1"
2/5,1/10,−,3/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1"
3/7,1/14,−,5/14,"0,2/14,4/14,6/14,8/14,10/14,12/14,14/14","0,2/14,4/14,6/14,8/14,10/14,12/14,14/14"
1/2,1/10,−,2/5,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1"
4/9,1/6,−,5/18,"0,2/18,4/18,6/18,8/18,10/18,12/18,14/18,16/18,18/18","0,2/18,4/18,6/18,8/18,10/18,12/18,14/18,16/18,18/18"
5/12,1/16,−,17/48,"0,4/24,8/24,12/24,16/24,20/24,24/24","0,4/24,12/24,20/24,24/24"
7/8,1/9,−,55/72,"0,2/18,4/18,6/18,8/18,10/18,12/18,14/18,16/18,18/18","0,2/18,4/18,6/18,8/18,10/18,12/18,14/18,16/18,18/18"
1/4,2/10,−,1/20,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
5/8,1/18,−,41/72,"0,6/72,12/72,18/72,24/72,30/72,36/72,42/72,48/72,54/72,60/72,66/72,72/72","0,12/72,24/72,36/72,48/72,60/72,72/72"
4/5,1/10,−,7/10,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
3/4,1/6,−,7/12,"0,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12,1","0,2/12,4/12,6/12,8/12,10/12,1"
5/6,1/3,−,1/2,"0,1/6,2/6,3/6,4/6,5/6,1","0,1/6,2/6,3/6,4/6,5/6,1"
5/12,2/15,−,17/60,"0,5/60,10/60,15/60,20/60,25/60,30/60,35/60,40/60,45/60,50/60,55/60,60/60","0,10/60,20/60,30/60,40/60,50/60,60/60"
2/7,1/9,−,11/63,"0,1/7,2/7,3/7,4/7,5/7,6/7,1","0,1/7,2/7,3/7,4/7,5/7,6/7,1"
5/8,1/14,−,31/56,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,2/8,4/8,6/8,1"
7/10,1/5,−,1/2,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
2/3,1/6,−,1/2,"0,1/6,2/6,3/6,4/6,5/6,1","0,1/6,2/6,3/6,4/6,5/6,1"
7/8,3/4,−,1/8,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,2/8,4/8,6/8,1"
4/5,1/4,−,11/20,"0,2/20,4/20,6/20,8/20,10/20,12/20,14/20,16/20,18/20,1","0,4/20,8/20,12/20,16/20,1"
4/9,1/14,−,47/126,"0,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,1","0,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,1"
2/3,1/5,−,7/15,"0,3/15,7/15,11/15,1","0,3/15,7/15,11/15,1"
5/9,1/8,−,31/72,"0,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,1","0,3/9,6/9,1"
3/16,1/6,−,1/48,"0,6/48,12/48,24/48,30/48,36/48,48/48","0,6/48,12/48,24/48,30/48,36/48,48/48"
5/6,3/14,−,13/21,"0,1/7,2/7,3/7,4/7,5/7,6/7,1","0,1/7,2/7,3/7,4/7,5/7,6/7,1"
3/7,1/9,−,20/63,"0,1/7,2/7,3/7,4/7,5/7,6/7,1","0,1/7,2/7,3/7,4/7,5/7,6/7,1"
7/9,2/15,−,29/45,"0,1/10,2/10,3/10,4/10,5/10,6/10,7/10,8/10,9/10,1","0,2/10,4/10,6/10,8/10,1"
4/7,1/12,−,41/84,"0,1/7,2/7,3/7,4/7,5/7,6/7,1","0,1/7,2/7,3/7,4/7,5/7,6/7,1"
3/8,2/11,−,17/88,"0,1/8,2/8,3/8,4/8,5/8,6/8,7/8,1","0,2/8,4/8,6/8,1"
5/9,1/16,−,71/144,"0,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,1","0,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,1"
2/3,1/2,+,7/6,"0,1/6,3/6,5/6,1,7/6,9/6,11/6,2","0,1/6,3/6,5/6,1,7/6,9/6,11/6,2"
3/4,2/3,+,17/12,"0,3/12,6/12,9/12,1,15/12,18/12,21/12,24/12,27/12,30/12,2","0,3/12,6/12,9/12,1,15/12,18/12,21/12,24/12,27/12,30/12,2"
5/6,1/3,+,7/6,"0,1/6,2/6,3/6,4/6,5/6,1,7/6,8/6,9/6,10/6,11/6,2","0,1/6,2/6,3/6,4/6,5/6,1,7/6,8/6,9/6,10/6,11/6,2"
1 1/2,1/4,−,1 1/4,"0,1/4,2/4,3/4,1,5/4,6/4,7/4,2","0,1/4,2/4,3/4,1,5/4,6/4,7/4,2"
9/8,1/4,−,7/8,"0,2/8,4/8,6/8,8/8,10/8,12/8,14/8,16/8","0,2/8,4/8,6/8,8/8,10/8,12/8,14/8,16/8"
1 1/3,1/6,+,1 1/2,"0,1/6,2/6,3/6,4/6,5/6,1,7/6,8/6,9/6,10/6,11/6,2","0,1/6,2/6,3/6,4/6,5/6,1,7/6,8/6,9/6,10/6,11/6,2"
7/10,1/2,+,6/5,"0,1/5,2/5,3/5,4/5,1,6/5,7/5,8/5,9/5,2","0,1/5,2/5,3/5,4/5,1,6/5,7/5,8/5,9/5,2"
11/12,1/3,−,7/12,"0,2/12,4/12,6/12,8/12,10/12,1,14/12,16/12,18/12,20/12,22/12,2","0,2/12,4/12,6/12,8/12,10/12,1,14/12,16/12,18/12,20/12,22/12,2"
5/6,3/8,+,29/24,"0,6/24,12/24,18/24,24/24,30/24,36/24,42/24,48/24","0,6/24,12/24,18/24,24/24,30/24,36/24,42/24,48/24"
13/10,1/4,−,21/20,"0,1/5,2/5,3/5,4/5,1,6/5,7/5,8/5,9/5,2","0,1/5,2/5,3/5,4/5,1,6/5,7/5,8/5,9/5,2"
13/10,1/5,−,11/10,"0,2/10,4/10,6/10,8/10,1,12/10,14/10,16/10,18/10,2","0,2/10,4/10,6/10,8/10,1,12/10,14/10,16/10,18/10,2"
3/5,3/4,+,1 7/20,"0,4/20,8/20,12/20,16/20,20/20,24/20,28/20,32/20,36/20,40/20","0,4/20,8/20,12/20,16/20,20/20,24/20,28/20,32/20,36/20,40/20"
7/10,2/5,+,11/10,"0,2/10,4/10,6/10,8/10,1,12/10,14/10,16/10,18/10,2","0,2/10,4/10,6/10,8/10,1,12/10,14/10,16/10,18/10,2"
1 1/3,1/6,−,1 1/6,"0,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6","0,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6"
1 1/2,1/3,−,1 1/6,"0,1/3,2/3,1,4/3,5/3,2","0,1/3,2/3,1,4/3,5/3,2"
5/6,5/8,+,35/24,"0,6/24,12/24,18/24,24/24,30/24,36/24,42/24,48/24","0,6/24,12/24,18/24,24/24,30/24,36/24,42/24,48/24"
1 1/3,2/3,+,2,"0,1/3,2/3,1,4/3,5/3,2","0,1/3,2/3,1,4/3,5/3,2"
9/8,3/10,+,114/80,"80/80,90/80,100/80,110/80,120/80,130/80,140/80,150/80,160/80","80/80,90/80,100/80,110/80,120/80,130/80,140/80,150/80,160/80"
1 3/4,1/2,−,1 1/4,"0,2/8,4/8,6/8,8/8,10/8,12/8,14/8,2","0,2/8,4/8,6/8,8/8,10/8,12/8,14/8,2"
5/6,1/3,+,7/6,"0,1/6,2/6,3/6,4/6,5/6,1,7/6,8/6,9/6,10/6,11/6,2","0,1/6,2/6,3/6,4/6,5/6,1,7/6,8/6,9/6,10/6,11/6,2"
13/12,5/6,−,1/4,"0,3/12,6/12,9/12,12/12,15/12,18/12,21/12,24/12","0,3/12,6/12,9/12,12/12,15/12,18/12,21/12,24/12"
11/12,1/6,−,3/4,"0,3/12,6/12,9/12,12/12","0,3/12,6/12,9/12,12/12"
3/4,1/2,+,5/4,"0,1/4,2/4,3/4,1,5/4,6/4,7/4,2","0,1/4,2/4,3/4,1,5/4,6/4,7/4,2"
7/8,2/3,+,1 13/24,"0,6/24,12/24,18/24,1,30/24,36/24,42/24,48/24","0,6/24,12/24,18/24,1,30/24,36/24,42/24,48/24"
1 1/2,1/6,+,1 2/3,"0,1/6,2/6,3/6,4/6,5/6,1,7/6,8/6,9/6,1 2/3,11/6,2","0,1/6,2/6,3/6,4/6,5/6,1,7/6,8/6,9/6,1 2/3,11/6,2"
13/12,5/6,+,23/12,"0,3/12,6/12,9/12,1,15/12,18/12,21/12,2,27/12,30/12,33/12,3","0,3/12,6/12,9/12,1,15/12,18/12,21/12,2,27/12,30/12,33/12,3"
1 1/2,3/10,−,1 1/5,"0,2/10,4/10,6/10,8/10,1,12/10,14/10,16/10,18/10,2","0,2/10,4/10,6/10,8/10,1,12/10,14/10,16/10,18/10,2"
1 5/6,2/5,−,43/30,"0,6/30,12/30,18/30,24/30,1,36/30,42/30,48/30,54/30,2","0,6/30,12/30,18/30,24/30,1,36/30,42/30,48/30,54/30,2"
11/10,5/6,+,29/15,"0,10/30,20/30,1,40/30,50/30,60/30,70/30,80/30","0,10/30,20/30,1,40/30,50/30,60/30,70/30,80/30"
1 1/3,1/6,−,1 1/6,"0,2/6,4/6,1,8/6,10/6,2","0,2/6,4/6,1,8/6,10/6,2"
